Order Line,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit
30,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,FUR-FU-10004848,124,3,0.2,16
31,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,OFF-EN-10001509,3,2,0.2,1
32,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,OFF-AR-10004042,86,6,0.2,10
33,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,OFF-BI-10001525,7,6,0.7,-6
34,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,OFF-AR-10001683,16,2,0.2,4
35,CA-2017-107727,19/10/2017,23/10/2017,Second Class,MA-17560,OFF-PA-10000249,29,3,0.2,10
36,CA-2016-117590,08/12/2016,10/12/2016,First Class,GH-14485,TEC-PH-10004977,1098,7,0.2,123
37,CA-2016-117590,08/12/2016,10/12/2016,First Class,GH-14485,FUR-FU-10003664,191,5,0.6,-148
38,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,OFF-EN-10002986,113,9,0.2,35
39,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,FUR-BO-10002545,532,3,0.3,-47
40,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,FUR-CH-10004218,212,3,0.3,-15
41,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,TEC-PH-10000486,371,4,0.2,42
42,CA-2017-120999,10/09/2017,15/09/2017,Standard Class,LC-16930,TEC-PH-10004093,147,4,0.2,17
43,CA-2016-101343,17/07/2016,22/07/2016,Standard Class,RA-19885,OFF-ST-10003479,78,2,0.0,4
44,CA-2017-139619,19/09/2017,23/09/2017,Standard Class,ES-14080,OFF-ST-10003282,96,2,0.2,10
45,CA-2016-118255,11/03/2016,13/03/2016,First Class,ON-18715,TEC-AC-10000171,46,2,0.0,20
46,CA-2016-118255,11/03/2016,13/03/2016,First Class,ON-18715,OFF-BI-10003291,17,2,0.0,8
47,CA-2014-146703,20/10/2014,25/10/2014,Second Class,PO-18865,OFF-ST-10001713,212,4,0.0,8
48,CA-2016-169194,20/06/2016,25/06/2016,Standard Class,LH-16900,TEC-AC-10002167,45,3,0.0,5
49,CA-2016-169194,20/06/2016,25/06/2016,Standard Class,LH-16900,TEC-PH-10003988,22,2,0.0,6
50,CA-2015-115742,18/04/2015,22/04/2015,Standard Class,DP-13000,OFF-BI-10004410,38,6,0.0,18
51,CA-2015-115742,18/04/2015,22/04/2015,Standard Class,DP-13000,OFF-LA-10002762,75,6,0.0,35
52,CA-2015-115742,18/04/2015,22/04/2015,Standard Class,DP-13000,FUR-FU-10001706,6,2,0.0,3
53,CA-2015-115742,18/04/2015,22/04/2015,Standard Class,DP-13000,FUR-CH-10003061,90,1,0.0,17
54,CA-2016-105816,11/12/2016,17/12/2016,Standard Class,JM-15265,OFF-FA-10000304,15,7,0.0,6
55,CA-2016-105816,11/12/2016,17/12/2016,Standard Class,JM-15265,TEC-PH-10002447,1030,5,0.0,299
56,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,OFF-ST-10000604,209,6,0.0,52
57,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,OFF-PA-10001569,32,5,0.0,16
58,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,FUR-CH-10003968,319,5,0.1,7
59,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,OFF-PA-10000587,15,2,0.0,7
60,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,TEC-AC-10002167,30,2,0.0,3
61,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,OFF-BI-10001460,48,4,0.2,16
62,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,OFF-AR-10001868,2,1,0.0,1
63,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,KM-16720,TEC-AC-10004633,14,2,0.0,6
64,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,KM-16720,OFF-BI-10001078,26,6,0.2,9
65,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,KM-16720,OFF-PA-10003892,147,3,0.0,69
66,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,KM-16720,FUR-FU-10000397,80,4,0.0,22
67,US-2015-164175,30/04/2015,05/05/2015,Standard Class,PS-18970,FUR-CH-10001146,213,5,0.3,-15
68,CA-2014-106376,05/12/2014,10/12/2014,Standard Class,BS-11590,OFF-AR-10002671,1113,8,0.2,111
69,CA-2014-106376,05/12/2014,10/12/2014,Standard Class,BS-11590,TEC-PH-10002726,168,4,0.2,63
70,CA-2016-119823,04/06/2016,06/06/2016,First Class,KD-16270,OFF-PA-10000482,76,2,0.0,36
71,CA-2016-106075,18/09/2016,23/09/2016,Standard Class,HM-14980,OFF-BI-10004654,5,1,0.2,2
72,CA-2017-114440,14/09/2017,17/09/2017,Second Class,TB-21520,OFF-PA-10004675,19,3,0.0,9
73,US-2015-134026,26/04/2015,02/05/2015,Standard Class,JE-15745,FUR-CH-10000513,832,8,0.2,-114
74,US-2015-134026,26/04/2015,02/05/2015,Standard Class,JE-15745,FUR-FU-10003708,97,2,0.2,1
75,US-2015-134026,26/04/2015,02/05/2015,Standard Class,JE-15745,OFF-ST-10004123,73,1,0.2,-18
76,US-2017-118038,09/12/2017,11/12/2017,First Class,KB-16600,OFF-BI-10004182,1,3,0.8,-2
77,US-2017-118038,09/12/2017,11/12/2017,First Class,KB-16600,FUR-FU-10000260,10,3,0.6,-6
78,US-2017-118038,09/12/2017,11/12/2017,First Class,KB-16600,OFF-ST-10000615,27,3,0.2,3
79,US-2014-147606,26/11/2014,01/12/2014,Second Class,JE-15745,FUR-FU-10003194,19,5,0.6,-14
80,CA-2016-127208,12/06/2016,15/06/2016,First Class,SC-20770,OFF-AP-10002118,208,1,0.0,56
81,CA-2016-127208,12/06/2016,15/06/2016,First Class,SC-20770,OFF-BI-10002309,17,3,0.0,8
82,CA-2014-139451,12/10/2014,16/10/2014,Standard Class,DN-13690,OFF-AR-10002053,15,5,0.0,4
83,CA-2014-139451,12/10/2014,16/10/2014,Standard Class,DN-13690,OFF-ST-10002370,21,1,0.0,6
84,CA-2015-149734,03/09/2015,08/09/2015,Standard Class,JC-16105,OFF-EN-10000927,201,7,0.2,63
85,US-2017-119662,13/11/2017,16/11/2017,First Class,CS-12400,OFF-ST-10003656,230,3,0.2,-49
86,CA-2017-140088,28/05/2017,30/05/2017,Second Class,PO-18865,FUR-CH-10000863,302,2,0.0,33
87,CA-2017-155558,26/10/2017,02/11/2017,Standard Class,PG-18895,TEC-AC-10001998,20,1,0.0,7
88,CA-2017-155558,26/10/2017,02/11/2017,Standard Class,PG-18895,OFF-LA-10000134,6,2,0.0,3
89,CA-2016-159695,05/04/2016,10/04/2016,Second Class,GM-14455,OFF-ST-10003442,158,7,0.2,14
90,CA-2016-109806,17/09/2016,22/09/2016,Standard Class,JS-15685,OFF-AR-10004930,20,3,0.0,7
91,CA-2016-109806,17/09/2016,22/09/2016,Standard Class,JS-15685,TEC-PH-10004093,74,2,0.2,8
92,CA-2016-109806,17/09/2016,22/09/2016,Standard Class,JS-15685,OFF-PA-10000304,6,1,0.0,3
93,CA-2015-149587,31/01/2015,05/02/2015,Second Class,KB-16315,OFF-PA-10003177,13,2,0.0,6
94,CA-2015-149587,31/01/2015,05/02/2015,Second Class,KB-16315,FUR-FU-10003799,53,3,0.0,17
95,CA-2015-149587,31/01/2015,05/02/2015,Second Class,KB-16315,OFF-BI-10002852,33,2,0.0,16
96,US-2017-109484,06/11/2017,12/11/2017,Standard Class,RB-19705,OFF-BI-10004738,6,1,0.7,-4
97,CA-2017-161018,09/11/2017,11/11/2017,Second Class,PN-18775,FUR-FU-10000629,97,7,0.0,41
98,CA-2017-157833,17/06/2017,20/06/2017,First Class,KD-16345,OFF-BI-10001721,51,3,0.2,18
99,CA-2016-149223,06/09/2016,11/09/2016,Standard Class,ER-13855,OFF-AP-10000358,78,6,0.0,23
100,CA-2016-158568,29/08/2016,02/09/2016,Standard Class,RB-19465,OFF-PA-10003256,65,7,0.2,23
101,CA-2016-158568,29/08/2016,02/09/2016,Standard Class,RB-19465,TEC-AC-10001767,96,3,0.2,-11
102,CA-2016-158568,29/08/2016,02/09/2016,Standard Class,RB-19465,OFF-BI-10002609,2,3,0.8,-3
103,CA-2016-129903,01/12/2016,04/12/2016,Second Class,GZ-14470,OFF-PA-10004040,24,4,0.0,12
104,US-2015-156867,13/11/2015,17/11/2015,Standard Class,LC-16870,TEC-AC-10001552,239,6,0.2,-27
105,US-2015-156867,13/11/2015,17/11/2015,Standard Class,LC-16870,FUR-FU-10004006,102,3,0.2,-4
106,US-2015-156867,13/11/2015,17/11/2015,Standard Class,LC-16870,OFF-BI-10002794,37,3,0.7,-26
107,CA-2017-119004,23/11/2017,28/11/2017,Standard Class,JM-15250,TEC-AC-10003499,74,8,0.2,18
108,CA-2017-119004,23/11/2017,28/11/2017,Standard Class,JM-15250,TEC-PH-10002844,28,1,0.2,2
109,CA-2017-119004,23/11/2017,28/11/2017,Standard Class,JM-15250,OFF-AR-10000390,3,1,0.2,1
110,CA-2015-129476,15/10/2015,20/10/2015,Standard Class,PA-19060,TEC-AC-10000844,340,5,0.2,68
111,CA-2017-146780,25/12/2017,30/12/2017,Standard Class,CV-12805,FUR-FU-10001934,42,2,0.0,11
112,CA-2016-128867,03/11/2016,10/11/2016,Standard Class,CL-12565,OFF-AR-10000380,76,2,0.0,23
113,CA-2016-128867,03/11/2016,10/11/2016,Standard Class,CL-12565,OFF-BI-10003981,27,6,0.0,13
114,CA-2014-115259,25/08/2014,27/08/2014,Second Class,RC-19960,OFF-FA-10000621,40,14,0.2,15
115,CA-2014-115259,25/08/2014,27/08/2014,Second Class,RC-19960,OFF-EN-10002600,5,2,0.2,2
116,CA-2014-115259,25/08/2014,27/08/2014,Second Class,RC-19960,OFF-PA-10004965,24,3,0.2,7
117,CA-2014-115259,25/08/2014,27/08/2014,Second Class,RC-19960,OFF-EN-10002504,130,6,0.2,44
118,CA-2015-110457,02/03/2015,06/03/2015,Standard Class,DK-13090,FUR-TA-10001768,788,3,0.0,165
119,US-2015-136476,05/04/2015,10/04/2015,Standard Class,GG-14650,OFF-BI-10003650,158,1,0.7,-116
120,CA-2016-103730,12/06/2016,15/06/2016,First Class,SC-20725,FUR-FU-10002157,47,3,0.0,18
121,CA-2016-103730,12/06/2016,15/06/2016,First Class,SC-20725,OFF-BI-10003910,31,4,0.0,14
122,CA-2016-103730,12/06/2016,15/06/2016,First Class,SC-20725,OFF-ST-10000777,227,6,0.0,63
123,CA-2016-103730,12/06/2016,15/06/2016,First Class,SC-20725,OFF-EN-10002500,115,9,0.0,52
124,CA-2016-103730,12/06/2016,15/06/2016,First Class,SC-20725,TEC-PH-10003875,68,7,0.0,20
125,US-2014-152030,26/12/2014,28/12/2014,Second Class,AD-10180,FUR-CH-10004063,601,3,0.3,-9
126,US-2014-134614,20/09/2014,25/09/2014,Standard Class,PF-19165,FUR-TA-10004534,618,6,0.5,-408
127,US-2017-107272,05/11/2017,12/11/2017,Standard Class,TS-21610,OFF-BI-10003274,2,2,0.7,-2
128,US-2017-107272,05/11/2017,12/11/2017,Standard Class,TS-21610,OFF-ST-10002974,244,7,0.2,30
129,US-2016-125969,06/11/2016,10/11/2016,Second Class,LS-16975,FUR-CH-10001146,81,2,0.2,-9
130,US-2016-125969,06/11/2016,10/11/2016,Second Class,LS-16975,FUR-FU-10003773,239,3,0.0,26
131,US-2017-164147,02/02/2017,05/02/2017,First Class,DW-13585,TEC-PH-10002293,60,5,0.4,-12
132,US-2017-164147,02/02/2017,05/02/2017,First Class,DW-13585,OFF-PA-10002377,78,2,0.2,29
133,US-2017-164147,02/02/2017,05/02/2017,First Class,DW-13585,OFF-FA-10002780,21,9,0.2,7
134,CA-2016-145583,13/10/2016,19/10/2016,Standard Class,LC-16885,OFF-PA-10001804,20,3,0.0,10
135,CA-2016-145583,13/10/2016,19/10/2016,Standard Class,LC-16885,OFF-PA-10001736,35,1,0.0,17
136,CA-2016-145583,13/10/2016,19/10/2016,Standard Class,LC-16885,OFF-AR-10001149,12,4,0.0,3
137,CA-2016-145583,13/10/2016,19/10/2016,Standard Class,LC-16885,OFF-FA-10002988,4,2,0.0,2
138,CA-2016-145583,13/10/2016,19/10/2016,Standard Class,LC-16885,OFF-BI-10004781,76,3,0.2,27
139,CA-2016-145583,13/10/2016,19/10/2016,Standard Class,LC-16885,OFF-SU-10001218,66,6,0.0,18
140,CA-2016-145583,13/10/2016,19/10/2016,Standard Class,LC-16885,FUR-FU-10001706,43,14,0.0,21
141,CA-2016-110366,05/09/2016,07/09/2016,Second Class,JD-15895,FUR-FU-10004848,83,2,0.2,10
142,CA-2017-106180,18/09/2017,23/09/2017,Standard Class,SH-19975,OFF-AR-10000940,9,3,0.0,2
143,CA-2017-106180,18/09/2017,23/09/2017,Standard Class,SH-19975,OFF-EN-10004030,11,3,0.0,5
144,CA-2017-106180,18/09/2017,23/09/2017,Standard Class,SH-19975,OFF-PA-10004327,144,3,0.0,69
145,CA-2017-155376,22/12/2017,27/12/2017,Standard Class,SG-20080,OFF-AP-10001058,839,3,0.0,218
146,CA-2015-110744,07/09/2015,12/09/2015,Standard Class,HA-14920,OFF-ST-10003656,672,7,0.0,20
147,CA-2014-110072,22/10/2014,28/10/2014,Standard Class,MG-17680,FUR-FU-10000521,94,4,0.2,13
148,CA-2016-114489,05/12/2016,09/12/2016,Standard Class,JE-16165,TEC-PH-10000215,384,11,0.0,104
149,CA-2016-114489,05/12/2016,09/12/2016,Standard Class,JE-16165,TEC-PH-10001448,150,3,0.0,6
150,CA-2016-114489,05/12/2016,09/12/2016,Standard Class,JE-16165,FUR-CH-10000454,1952,8,0.0,586
151,CA-2016-114489,05/12/2016,09/12/2016,Standard Class,JE-16165,OFF-BI-10002735,172,5,0.0,81
152,CA-2016-158834,13/03/2016,16/03/2016,First Class,TW-21025,OFF-AP-10000326,158,5,0.2,18
153,CA-2016-158834,13/03/2016,16/03/2016,First Class,TW-21025,TEC-PH-10001254,203,2,0.2,15
154,CA-2015-124919,31/05/2015,02/06/2015,First Class,SP-20650,OFF-PA-10001950,58,7,0.0,26
155,CA-2015-124919,31/05/2015,02/06/2015,First Class,SP-20650,OFF-PA-10002254,106,4,0.0,49
156,CA-2015-124919,31/05/2015,02/06/2015,First Class,SP-20650,OFF-ST-10001590,81,6,0.0,21
157,CA-2015-118948,28/05/2015,03/06/2015,Standard Class,NK-18490,OFF-AR-10001547,7,3,0.0,2
158,CA-2014-104269,01/03/2014,06/03/2014,Second Class,DB-13060,FUR-CH-10004063,458,2,0.2,51
159,CA-2016-114104,20/11/2016,24/11/2016,Standard Class,NP-18670,OFF-LA-10002475,15,2,0.0,7
160,CA-2016-114104,20/11/2016,24/11/2016,Standard Class,NP-18670,TEC-PH-10004536,945,7,0.0,236
161,CA-2016-162733,11/05/2016,12/05/2016,First Class,TT-21070,OFF-PA-10002751,6,1,0.0,3
162,CA-2015-119697,28/12/2015,31/12/2015,Second Class,EM-13960,TEC-AC-10003657,54,2,0.2,1
163,CA-2016-154508,16/11/2016,20/11/2016,Standard Class,RD-19900,OFF-EN-10001990,28,5,0.0,13
164,CA-2016-113817,07/11/2016,11/11/2016,Standard Class,MJ-17740,OFF-BI-10004002,28,2,0.2,10
165,CA-2014-139892,08/09/2014,12/09/2014,Standard Class,BM-11140,OFF-AR-10004441,10,3,0.2,3
166,CA-2014-139892,08/09/2014,12/09/2014,Standard Class,BM-11140,TEC-MA-10000822,8160,8,0.4,-1360
167,CA-2014-139892,08/09/2014,12/09/2014,Standard Class,BM-11140,OFF-ST-10000991,276,3,0.2,-59
168,CA-2014-139892,08/09/2014,12/09/2014,Standard Class,BM-11140,FUR-CH-10004287,1740,9,0.3,-25
169,CA-2014-139892,08/09/2014,12/09/2014,Standard Class,BM-11140,OFF-AR-10002656,32,6,0.2,7
170,CA-2014-139892,08/09/2014,12/09/2014,Standard Class,BM-11140,OFF-AP-10002518,178,5,0.8,-454
171,CA-2014-139892,08/09/2014,12/09/2014,Standard Class,BM-11140,TEC-PH-10003931,144,3,0.2,9
172,CA-2014-118962,05/08/2014,09/08/2014,Standard Class,CS-12130,OFF-PA-10000659,21,3,0.0,10
173,CA-2014-118962,05/08/2014,09/08/2014,Standard Class,CS-12130,OFF-PA-10001144,111,2,0.0,53
174,CA-2014-118962,05/08/2014,09/08/2014,Standard Class,CS-12130,FUR-CH-10003817,340,7,0.2,21
175,US-2014-100853,14/09/2014,19/09/2014,Standard Class,JB-15400,OFF-AP-10000891,52,2,0.8,-131
176,US-2014-100853,14/09/2014,19/09/2014,Standard Class,JB-15400,OFF-LA-10003148,20,4,0.2,7
177,US-2017-152366,21/04/2017,25/04/2017,Second Class,SJ-20500,OFF-AP-10002684,97,4,0.8,-243
178,US-2015-101511,21/11/2015,23/11/2015,Second Class,JE-15745,FUR-CH-10004698,397,7,0.3,-11
179,US-2015-101511,21/11/2015,23/11/2015,Second Class,JE-15745,OFF-SU-10002189,16,5,0.2,-4
180,CA-2015-137225,15/12/2015,19/12/2015,Standard Class,JK-15640,OFF-AR-10001940,3,1,0.0,1
181,CA-2014-166191,05/12/2014,09/12/2014,Second Class,DK-13150,OFF-ST-10003455,25,2,0.2,2
182,CA-2014-166191,05/12/2014,09/12/2014,Second Class,DK-13150,TEC-AC-10004659,409,7,0.2,77
183,CA-2014-158274,19/11/2014,24/11/2014,Second Class,RM-19675,TEC-PH-10003273,504,4,0.0,131
184,CA-2014-158274,19/11/2014,24/11/2014,Second Class,RM-19675,TEC-PH-10004896,150,5,0.0,42
185,CA-2014-158274,19/11/2014,24/11/2014,Second Class,RM-19675,TEC-AC-10002345,29,2,0.0,7
186,CA-2016-105018,28/11/2016,02/12/2016,Standard Class,SK-19990,OFF-BI-10001890,7,2,0.0,3
187,CA-2014-123260,26/08/2014,30/08/2014,Standard Class,FM-14290,TEC-AC-10002323,177,8,0.0,23
188,CA-2016-157000,16/07/2016,22/07/2016,Standard Class,AM-10360,OFF-ST-10001328,37,3,0.2,4
189,CA-2016-157000,16/07/2016,22/07/2016,Standard Class,AM-10360,OFF-PA-10001950,20,3,0.2,6
190,CA-2015-102281,12/10/2015,14/10/2015,First Class,MP-17470,FUR-BO-10002613,899,4,0.2,112
191,CA-2015-102281,12/10/2015,14/10/2015,First Class,MP-17470,TEC-PH-10001552,72,6,0.0,20
192,CA-2015-102281,12/10/2015,14/10/2015,First Class,MP-17470,OFF-PA-10000061,52,8,0.0,25
193,CA-2015-102281,12/10/2015,14/10/2015,First Class,MP-17470,FUR-BO-10002545,626,3,0.2,47
194,CA-2015-102281,12/10/2015,14/10/2015,First Class,MP-17470,OFF-AR-10003514,20,5,0.0,7
195,CA-2015-131457,31/10/2015,06/11/2015,Standard Class,MZ-17515,OFF-EN-10001509,14,7,0.0,7
196,CA-2014-140004,21/03/2014,25/03/2014,Standard Class,CB-12025,OFF-AR-10004685,7,2,0.2,1
197,CA-2014-140004,21/03/2014,25/03/2014,Standard Class,CB-12025,OFF-AR-10004027,6,3,0.2,2
198,CA-2017-107720,06/11/2017,13/11/2017,Standard Class,VM-21685,OFF-ST-10001414,46,3,0.0,12
199,US-2017-124303,06/07/2017,13/07/2017,Standard Class,FH-14365,OFF-BI-10000343,3,2,0.7,-2
200,US-2017-124303,06/07/2017,13/07/2017,Standard Class,FH-14365,OFF-PA-10002749,16,3,0.2,6
201,CA-2017-105074,24/06/2017,29/06/2017,Standard Class,MB-17305,OFF-PA-10002666,22,3,0.2,7
202,CA-2014-133690,03/08/2014,05/08/2014,First Class,BS-11755,FUR-TA-10004289,219,2,0.5,-162
203,CA-2014-133690,03/08/2014,05/08/2014,First Class,BS-11755,OFF-AP-10003622,3,1,0.2,0
204,US-2017-116701,17/12/2017,21/12/2017,Second Class,LC-17140,OFF-AP-10003217,66,2,0.8,-179
205,CA-2017-126382,03/06/2017,07/06/2017,Standard Class,HK-14890,FUR-FU-10002960,35,7,0.2,10
206,CA-2017-108329,09/12/2017,14/12/2017,Standard Class,LE-16810,TEC-PH-10001918,445,4,0.2,44
207,CA-2017-135860,01/12/2017,07/12/2017,Standard Class,JH-15985,OFF-ST-10000642,84,4,0.0,6
208,CA-2017-135860,01/12/2017,07/12/2017,Standard Class,JH-15985,TEC-PH-10001700,132,2,0.0,36
209,CA-2017-135860,01/12/2017,07/12/2017,Standard Class,JH-15985,OFF-BI-10003274,16,4,0.0,7
210,CA-2017-135860,01/12/2017,07/12/2017,Standard Class,JH-15985,OFF-FA-10000134,52,9,0.0,16
211,CA-2017-135860,01/12/2017,07/12/2017,Standard Class,JH-15985,OFF-ST-10001522,92,1,0.0,4
212,CA-2015-101007,09/02/2015,13/02/2015,Second Class,MS-17980,TEC-AC-10001266,21,2,0.2,7
213,CA-2015-146262,02/01/2015,09/01/2015,Standard Class,VW-21775,OFF-LA-10004544,24,2,0.2,9
214,CA-2015-146262,02/01/2015,09/01/2015,Standard Class,VW-21775,FUR-BO-10004695,452,5,0.5,-244
215,CA-2015-146262,02/01/2015,09/01/2015,Standard Class,VW-21775,TEC-PH-10002844,63,3,0.4,-15
216,CA-2015-146262,02/01/2015,09/01/2015,Standard Class,VW-21775,TEC-MA-10000864,1188,9,0.7,-950
217,CA-2015-146262,02/01/2015,09/01/2015,Standard Class,VW-21775,TEC-AC-10000109,90,2,0.2,4
218,CA-2016-130162,28/10/2016,01/11/2016,Standard Class,JH-15910,OFF-ST-10001328,93,6,0.0,26
219,CA-2016-130162,28/10/2016,01/11/2016,Standard Class,JH-15910,TEC-PH-10002563,302,3,0.2,23
220,CA-2015-169397,24/12/2015,27/12/2015,First Class,JB-15925,OFF-FA-10000585,6,2,0.2,2
221,CA-2015-169397,24/12/2015,27/12/2015,First Class,JB-15925,OFF-PA-10004000,23,6,0.2,8
222,CA-2015-169397,24/12/2015,27/12/2015,First Class,JB-15925,OFF-BI-10002852,20,4,0.7,-14
223,CA-2015-169397,24/12/2015,27/12/2015,First Class,JB-15925,FUR-FU-10000087,73,4,0.2,19
224,CA-2015-169397,24/12/2015,27/12/2015,First Class,JB-15925,TEC-MA-10001148,480,4,0.7,-384
225,CA-2015-169397,24/12/2015,27/12/2015,First Class,JB-15925,OFF-AR-10001958,27,2,0.2,3
226,CA-2015-163055,09/08/2015,16/08/2015,Standard Class,DS-13180,OFF-AR-10001026,2,1,0.0,1
227,CA-2015-163055,09/08/2015,16/08/2015,Standard Class,DS-13180,FUR-TA-10003748,622,5,0.0,137
228,CA-2015-163055,09/08/2015,16/08/2015,Standard Class,DS-13180,OFF-ST-10002485,22,1,0.0,0
229,US-2015-145436,28/02/2015,04/03/2015,Standard Class,VD-21670,FUR-CH-10004860,162,2,0.2,-28
230,US-2015-145436,28/02/2015,04/03/2015,Standard Class,VD-21670,FUR-CH-10004477,390,8,0.2,44
231,US-2014-156216,13/09/2014,17/09/2014,Standard Class,EA-14035,OFF-BI-10001679,19,7,0.7,-12
232,US-2017-100930,07/04/2017,12/04/2017,Standard Class,CS-12400,FUR-TA-10001705,234,2,0.5,-102
233,US-2017-100930,07/04/2017,12/04/2017,Standard Class,CS-12400,FUR-TA-10003473,621,3,0.5,-248
234,US-2017-100930,07/04/2017,12/04/2017,Standard Class,CS-12400,OFF-BI-10001679,5,2,0.7,-4
235,US-2017-100930,07/04/2017,12/04/2017,Standard Class,CS-12400,FUR-FU-10004017,258,3,0.2,0
236,US-2017-100930,07/04/2017,12/04/2017,Standard Class,CS-12400,TEC-AC-10003832,618,3,0.2,-8
237,CA-2017-160514,12/11/2017,16/11/2017,Standard Class,DB-13120,OFF-PA-10002479,11,2,0.0,5
238,CA-2016-157749,04/06/2016,09/06/2016,Second Class,KL-16645,OFF-PA-10003349,26,5,0.2,9
239,CA-2016-157749,04/06/2016,09/06/2016,Second Class,KL-16645,FUR-FU-10000576,420,5,0.6,-357
240,CA-2016-157749,04/06/2016,09/06/2016,Second Class,KL-16645,FUR-FU-10004351,12,3,0.6,-5
241,CA-2016-157749,04/06/2016,09/06/2016,Second Class,KL-16645,TEC-PH-10000011,32,2,0.2,11
